Adsorbate 1,Adsorbate 2,num of NM atoms 1,num of NM atoms 2,num of H 1,num of H 2,Atomic num 1,Atomic num 2,PE 1,PE 2,Covalent Radius 1,Covalent Radius 2,FIE 1,FIE 2,IE 1,IE 2,EA 1,EA 2,VdW Radius 1,VdW Radius 2,num of Valence Electron 1,num of Valence Electron 2,num of Atoms,num of H,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average IE,Average EA,Average VdW Radius,Average num of Valence Electron,PE 1 minus PE 2,PE 1 add PE 2,Covalent Radius 1 minus Covalent Radius 2,Covalent Radius 1 add Covalent Radius 2,VdW Radius 1 minus VdW Radius 2,VdW Radius 1 add VdW Radius 2,FIE 1 minus FIE 2,FIE 1 add FIE 2,EA 1 minus EA 2,EA 1 add EA 2,num of Valence 1 minus num of Valence 2,num of Valence 1 add num of Valence 2,IE 1 minus IE 2,IE 1 add IE 2,Average EA of Adsorbates squared,Average PE of Adsorbates squared,Average Covalent Radius of Adosrbates squared,Average FIE of Adsorbates squared,Average VdW Radius squared,Average Atomic num of Adsorbates squared,Average num of Valence Electron squared,Average IE squared,G_C2O2 - Gco,G_CHO - Gco,Difference
C,Br,1.00,1.00,0.00,0.00,6.00,35.00,2.55,2.96,0.75,1.14,11.26,11.81,11.26,11.81,1.26,3.36,1.70,1.85,4.00,7.00,1.00,0.00,20.50,2.76,0.95,11.54,11.54,2.31,1.78,5.50,0.41,5.51,0.39,1.89,0.15,3.55,0.55,23.07,2.10,4.63,3.00,11.00,0.55,23.07,5.35,7.59,0.89,133.10,3.15,420.25,30.25,133.06,,,
C,I,1.00,1.00,0.00,0.00,6.00,53.00,2.55,2.66,0.75,1.33,11.26,10.45,11.26,10.45,1.26,3.06,1.70,1.98,4.00,7.00,1.00,0.00,29.50,2.61,1.04,10.86,10.86,2.16,1.84,5.50,0.11,5.21,0.58,2.08,0.28,3.68,0.81,21.71,1.80,4.32,3.00,11.00,0.81,21.71,4.67,6.79,1.08,117.84,3.39,870.25,30.25,117.83,,,
CH,O,2.00,1.00,1.00,0.00,3.50,8.00,2.38,3.44,0.54,0.63,12.43,13.62,10.64,13.62,1.01,1.46,1.45,1.52,5.00,6.00,1.50,0.50,5.75,2.91,0.59,13.02,12.13,1.23,1.49,5.50,1.07,5.82,0.09,1.17,0.07,2.97,1.19,26.05,0.45,2.47,1.00,11.00,2.98,24.26,1.52,8.45,0.34,169.61,2.21,33.06,30.25,147.14,,,
CH,OH,2.00,2.00,1.00,1.00,3.50,4.50,2.38,2.82,0.54,0.48,12.43,13.61,10.64,13.02,1.01,1.11,1.45,1.36,5.00,7.00,2.00,1.00,4.00,2.60,0.51,13.02,11.83,1.06,1.41,6.00,0.45,5.20,0.06,1.02,0.09,2.81,1.18,26.04,0.10,2.11,2.00,12.00,2.38,23.66,1.12,6.75,0.26,169.48,1.97,16.00,36.00,139.95,0.00525 ,0.16787 ,-0.16262 
CH,N,2.00,1.00,1.00,0.00,3.50,7.00,2.38,3.04,0.54,0.71,12.43,14.53,10.64,14.53,1.01,-0.07,1.45,1.55,5.00,5.00,1.50,0.50,5.25,2.71,0.63,13.48,12.59,0.47,1.50,5.00,0.67,5.42,0.17,1.25,0.10,3.00,2.11,26.96,1.08,0.94,0.00,10.00,3.89,25.17,0.22,7.33,0.39,181.75,2.25,27.56,25.00,158.38,,,
CH,NH,2.00,2.00,1.00,1.00,3.50,4.00,2.38,2.62,0.54,0.52,12.43,14.07,10.64,12.80,1.01,0.34,1.45,1.38,5.00,6.00,2.00,1.00,3.75,2.50,0.53,13.25,11.72,0.67,1.41,5.50,0.25,5.00,0.02,1.06,0.08,2.83,1.64,26.50,0.67,1.35,1.00,11.00,2.16,23.44,0.45,6.24,0.28,175.50,2.00,14.06,30.25,137.36,-0.00049 ,0.10656 ,-0.10705 
CH,NH2,2.00,3.00,1.00,2.00,3.50,3.00,2.38,2.48,0.54,0.45,12.43,13.91,10.64,10.78,1.01,0.48,1.45,1.32,5.00,7.00,2.50,1.50,3.25,2.43,0.50,13.17,10.71,0.74,1.38,6.00,0.11,4.86,0.09,0.99,0.13,2.77,1.48,26.34,0.53,1.49,2.00,12.00,0.14,21.42,0.55,5.89,0.25,173.44,1.91,10.56,36.00,114.70,,,
CH,NH3,2.00,4.00,1.00,3.00,3.50,2.50,2.38,2.41,0.54,0.42,12.43,13.83,10.64,10.07,1.01,0.55,1.45,1.29,5.00,8.00,3.00,2.00,3.00,2.39,0.48,13.13,10.36,0.78,1.37,6.50,0.04,4.79,0.12,0.96,0.16,2.74,1.40,26.26,0.46,1.56,3.00,13.00,0.57,20.71,0.60,5.72,0.23,172.41,1.87,9.00,42.25,107.23,,,
CH,C,2.00,1.00,1.00,0.00,3.50,6.00,2.38,2.55,0.54,0.75,12.43,11.26,10.64,11.26,1.01,1.26,1.45,1.70,5.00,4.00,1.50,0.50,4.75,2.46,0.65,11.84,10.95,1.13,1.58,4.50,0.18,4.93,0.21,1.29,0.25,3.15,1.17,23.69,0.26,2.27,1.00,9.00,0.62,21.90,1.29,6.06,0.42,140.29,2.48,22.56,20.25,119.90,,,
CH,CH,2.00,2.00,1.00,1.00,3.50,3.50,2.38,2.38,0.54,0.54,12.43,12.43,10.64,10.64,1.01,1.01,1.45,1.45,5.00,5.00,2.00,1.00,3.50,2.38,0.54,12.43,10.64,1.01,1.45,5.00,0.00,4.75,0.00,1.08,0.00,2.90,0.00,24.86,0.00,2.02,0.00,10.00,0.00,21.28,1.02,5.64,0.29,154.48,2.10,12.25,25.00,113.21,,,
CH,CH2,2.00,3.00,1.00,2.00,3.50,2.67,2.38,2.32,0.54,0.46,12.43,12.82,10.64,10.40,1.01,0.92,1.45,1.37,5.00,6.00,2.50,1.50,3.08,2.35,0.50,12.62,10.52,0.96,1.41,5.50,0.06,4.69,0.08,1.00,0.08,2.82,0.39,25.25,0.08,1.93,1.00,11.00,0.24,21.04,0.93,5.50,0.25,159.36,1.98,9.51,30.25,110.67,,,
CH,CH3,2.00,4.00,1.00,3.00,3.50,2.25,2.38,2.29,0.54,0.43,12.43,13.01,10.64,9.84,1.01,0.88,1.45,1.33,5.00,7.00,3.00,2.00,2.88,2.33,0.49,12.72,10.24,0.94,1.39,6.00,0.09,4.66,0.11,0.97,0.13,2.78,0.58,25.44,0.13,1.89,2.00,12.00,0.80,20.48,0.89,5.43,0.24,161.83,1.93,8.27,36.00,104.86,,,
CH,S,2.00,1.00,1.00,0.00,3.50,16.00,2.38,2.58,0.54,1.03,12.43,10.36,10.64,10.36,1.01,2.08,1.45,1.80,5.00,6.00,1.50,0.50,9.75,2.48,0.79,11.39,10.50,1.54,1.63,5.50,0.21,4.96,0.49,1.57,0.35,3.25,2.07,22.79,1.07,3.08,1.00,11.00,0.28,21.00,2.38,6.14,0.62,129.83,2.64,95.06,30.25,110.25,,,
CH,SH,2.00,2.00,1.00,1.00,3.50,8.50,2.38,2.39,0.54,0.68,12.43,11.98,10.64,10.42,1.01,1.42,1.45,1.50,5.00,7.00,2.00,1.00,6.00,2.38,0.61,12.20,10.53,1.21,1.48,6.00,0.02,4.77,0.14,1.22,0.05,2.95,0.45,24.41,0.41,2.42,2.00,12.00,0.22,21.06,1.47,5.68,0.37,148.94,2.18,36.00,36.00,110.88,0.04757 ,0.16809 ,-0.12052 
CH,SH2,2.00,3.00,1.00,2.00,3.50,6.00,2.38,2.33,0.54,0.56,12.43,12.52,10.64,10.46,1.01,1.20,1.45,1.40,5.00,8.00,2.50,1.50,4.75,2.35,0.55,12.47,10.55,1.10,1.43,6.50,0.05,4.70,0.02,1.10,0.05,2.85,0.09,24.95,0.19,2.20,3.00,13.00,0.18,21.10,1.21,5.53,0.30,155.60,2.03,22.56,42.25,111.30,,,
CH,F,2.00,1.00,1.00,0.00,3.50,9.00,2.38,3.98,0.54,0.64,12.43,17.42,10.64,17.42,1.01,3.40,1.45,1.47,5.00,7.00,1.50,0.50,6.25,3.18,0.59,14.93,14.03,2.20,1.46,6.00,1.61,6.36,0.10,1.18,0.02,2.92,4.99,29.85,2.39,4.41,2.00,12.00,6.78,28.06,4.86,10.10,0.35,222.77,2.13,39.06,36.00,196.84,-0.08787 ,0.01580 ,-0.10367 
CH,Cl,2.00,1.00,1.00,0.00,3.50,17.00,2.38,3.16,0.54,0.99,12.43,12.97,10.64,12.97,1.01,3.61,1.45,1.75,5.00,7.00,1.50,0.50,10.25,2.77,0.77,12.70,11.81,2.31,1.60,6.00,0.79,5.54,0.45,1.53,0.30,3.20,0.54,25.40,2.61,4.62,2.00,12.00,2.33,23.61,5.33,7.66,0.59,161.24,2.56,105.06,36.00,139.36,0.08640 ,0.12548 ,-0.03908 
CH,Br,2.00,1.00,1.00,0.00,3.50,35.00,2.38,2.96,0.54,1.14,12.43,11.81,10.64,11.81,1.01,3.36,1.45,1.85,5.00,7.00,1.50,0.50,19.25,2.67,0.84,12.12,11.23,2.19,1.65,6.00,0.59,5.34,0.60,1.68,0.40,3.30,0.62,24.24,2.36,4.37,2.00,12.00,1.17,22.45,4.77,7.12,0.71,146.93,2.72,370.56,36.00,126.00,0.10082 ,0.11547 ,-0.01465 
CH,I,2.00,1.00,1.00,0.00,3.50,53.00,2.38,2.66,0.54,1.33,12.43,10.45,10.64,10.45,1.01,3.06,1.45,1.98,5.00,7.00,1.50,0.50,28.25,2.52,0.94,11.44,10.55,2.03,1.72,6.00,0.29,5.04,0.79,1.87,0.53,3.43,1.98,22.88,2.05,4.07,2.00,12.00,0.19,21.09,4.13,6.34,0.87,130.87,2.94,798.06,36.00,111.20,,,
CH2,O,3.00,1.00,2.00,0.00,2.67,8.00,2.32,3.44,0.46,0.63,12.82,13.62,10.40,13.62,0.92,1.46,1.37,1.52,6.00,6.00,2.00,1.00,5.33,2.88,0.55,13.22,12.01,1.19,1.44,6.00,1.12,5.76,0.17,1.09,0.15,2.89,0.80,26.44,0.54,2.38,0.00,12.00,3.22,24.02,1.42,8.28,0.30,174.72,2.08,28.44,36.00,144.24,,,
CH2,OH,3.00,2.00,2.00,1.00,2.67,4.50,2.32,2.82,0.46,0.48,12.82,13.61,10.40,13.02,0.92,1.11,1.37,1.36,6.00,7.00,2.50,1.50,3.58,2.57,0.47,13.21,11.71,1.02,1.36,6.50,0.50,5.14,0.02,0.94,0.01,2.73,0.79,26.43,0.18,2.03,1.00,13.00,2.62,23.42,1.03,6.60,0.22,174.59,1.86,12.84,42.25,137.12,,,
CH2,N,3.00,1.00,2.00,0.00,2.67,7.00,2.32,3.04,0.46,0.71,12.82,14.53,10.40,14.53,0.92,-0.07,1.37,1.55,6.00,5.00,2.00,1.00,4.83,2.68,0.59,13.68,12.47,0.43,1.46,5.50,0.72,5.36,0.25,1.17,0.18,2.92,1.72,27.35,0.99,0.85,1.00,11.00,4.13,24.93,0.18,7.17,0.34,187.04,2.13,23.36,30.25,155.38,,,
CH2,NH,3.00,2.00,2.00,1.00,2.67,4.00,2.32,2.62,0.46,0.52,12.82,14.07,10.40,12.80,0.92,0.34,1.37,1.38,6.00,6.00,2.50,1.50,3.33,2.47,0.49,13.44,11.60,0.63,1.37,6.00,0.30,4.94,0.06,0.98,0.01,2.74,1.25,26.88,0.58,1.27,0.00,12.00,2.40,23.20,0.40,6.09,0.24,180.70,1.88,11.11,36.00,134.56,,,
CH2,NH2,3.00,3.00,2.00,2.00,2.67,3.00,2.32,2.48,0.46,0.45,12.82,13.91,10.40,10.78,0.92,0.48,1.37,1.32,6.00,7.00,3.00,2.00,2.83,2.40,0.46,13.36,10.59,0.70,1.34,6.50,0.16,4.80,0.01,0.91,0.05,2.68,1.09,26.73,0.44,1.40,1.00,13.00,0.38,21.18,0.49,5.75,0.21,178.61,1.80,8.03,42.25,112.15,,,
CH2,NH3,3.00,4.00,2.00,3.00,2.67,2.50,2.32,2.41,0.46,0.42,12.82,13.83,10.40,10.07,0.92,0.55,1.37,1.29,6.00,8.00,3.50,2.50,2.58,2.36,0.44,13.33,10.24,0.74,1.33,7.00,0.09,4.73,0.04,0.88,0.08,2.65,1.01,26.65,0.38,1.47,2.00,14.00,0.33,20.47,0.54,5.59,0.19,177.56,1.76,6.67,49.00,104.76,,,
CH2,C,3.00,1.00,2.00,0.00,2.67,6.00,2.32,2.55,0.46,0.75,12.82,11.26,10.40,11.26,0.92,1.26,1.37,1.70,6.00,4.00,2.00,1.00,4.33,2.43,0.61,12.04,10.83,1.09,1.53,5.00,0.23,4.87,0.29,1.21,0.33,3.07,1.56,24.08,0.34,2.19,2.00,10.00,0.86,21.66,1.19,5.92,0.37,144.95,2.35,18.78,25.00,117.29,,,
CH2,CH,3.00,2.00,2.00,1.00,2.67,3.50,2.32,2.38,0.46,0.54,12.82,12.43,10.40,10.64,0.92,1.01,1.37,1.45,6.00,5.00,2.50,1.50,3.08,2.35,0.50,12.62,10.52,0.97,1.41,5.50,0.06,4.69,0.08,1.00,0.08,2.82,0.39,25.25,0.08,1.93,1.00,11.00,0.24,21.04,0.93,5.50,0.25,159.36,1.98,9.51,30.25,110.67,,,
CH2,CH2,3.00,3.00,2.00,2.00,2.67,2.67,2.32,2.32,0.46,0.46,12.82,12.82,10.40,10.40,0.92,0.92,1.37,1.37,6.00,6.00,3.00,2.00,2.67,2.32,0.46,12.82,10.40,0.92,1.37,6.00,0.00,4.63,0.00,0.92,0.00,2.73,0.00,25.64,0.00,1.85,0.00,12.00,0.00,20.80,0.85,5.37,0.21,164.32,1.87,7.11,36.00,108.16,,,
CH2,CH3,3.00,4.00,2.00,3.00,2.67,2.25,2.32,2.29,0.46,0.43,12.82,13.01,10.40,9.84,0.92,0.88,1.37,1.33,6.00,7.00,3.50,2.50,2.46,2.30,0.45,12.92,10.12,0.90,1.35,6.50,0.03,4.60,0.03,0.89,0.04,2.69,0.19,25.83,0.04,1.80,1.00,13.00,0.56,20.24,0.81,5.30,0.20,166.83,1.81,6.04,42.25,102.41,,,
CH2,S,3.00,1.00,2.00,0.00,2.67,16.00,2.32,2.58,0.46,1.03,12.82,10.36,10.40,10.36,0.92,2.08,1.37,1.80,6.00,6.00,2.00,1.00,9.33,2.45,0.75,11.59,10.38,1.50,1.58,6.00,0.26,4.90,0.57,1.49,0.43,3.17,2.46,23.18,1.15,3.00,0.00,12.00,0.04,20.76,2.25,5.99,0.56,134.31,2.51,87.11,36.00,107.74,,,
CH2,SH,3.00,2.00,2.00,1.00,2.67,8.50,2.32,2.39,0.46,0.68,12.82,11.98,10.40,10.42,0.92,1.42,1.37,1.50,6.00,7.00,2.50,1.50,5.58,2.35,0.57,12.40,10.41,1.17,1.43,6.50,0.07,4.71,0.22,1.14,0.13,2.87,0.84,24.80,0.49,2.34,1.00,13.00,0.02,20.82,1.37,5.54,0.32,153.73,2.05,31.17,42.25,108.37,0.09286 ,0.25574 ,-0.16288 
CH2,SH2,3.00,3.00,2.00,2.00,2.67,6.00,2.32,2.33,0.46,0.56,12.82,12.52,10.40,10.46,0.92,1.20,1.37,1.40,6.00,8.00,3.00,2.00,4.33,2.32,0.51,12.67,10.43,1.06,1.38,7.00,0.01,4.64,0.10,1.02,0.03,2.77,0.30,25.34,0.27,2.12,2.00,14.00,0.06,20.86,1.12,5.39,0.26,160.50,1.91,18.78,49.00,108.78,0.10037 ,-0.01241 ,0.11278 
CH2,F,3.00,1.00,2.00,0.00,2.67,9.00,2.32,3.98,0.46,0.64,12.82,17.42,10.40,17.42,0.92,3.40,1.37,1.47,6.00,7.00,2.00,1.00,5.83,3.15,0.55,15.12,13.91,2.16,1.42,6.50,1.66,6.30,0.18,1.10,0.10,2.84,4.60,30.24,2.48,4.32,1.00,13.00,7.02,27.82,4.67,9.91,0.30,228.62,2.01,34.03,42.25,193.49,,,
CH2,Cl,3.00,1.00,2.00,0.00,2.67,17.00,2.32,3.16,0.46,0.99,12.82,12.97,10.40,12.97,0.92,3.61,1.37,1.75,6.00,7.00,2.00,1.00,9.83,2.74,0.73,12.89,11.69,2.27,1.56,6.50,0.84,5.48,0.53,1.45,0.38,3.12,0.15,25.79,2.69,4.54,1.00,13.00,2.57,23.37,5.14,7.50,0.53,166.23,2.43,96.69,42.25,136.54,,,
CH2,Br,3.00,1.00,2.00,0.00,2.67,35.00,2.32,2.96,0.46,1.14,12.82,11.81,10.40,11.81,0.92,3.36,1.37,1.85,6.00,7.00,2.00,1.00,18.83,2.64,0.80,12.32,11.11,2.14,1.61,6.50,0.64,5.28,0.68,1.60,0.48,3.22,1.00,24.63,2.44,4.29,1.00,13.00,1.41,22.21,4.59,6.96,0.64,151.69,2.59,354.69,42.25,123.32,0.10921 ,0.16181 ,-0.05260 
CH2,I,3.00,1.00,2.00,0.00,2.67,53.00,2.32,2.66,0.46,1.33,12.82,10.45,10.40,10.45,0.92,3.06,1.37,1.98,6.00,7.00,2.00,1.00,27.83,2.49,0.90,11.63,10.43,1.99,1.67,6.50,0.34,4.98,0.87,1.79,0.61,3.35,2.37,23.27,2.14,3.98,1.00,13.00,0.05,20.85,3.96,6.19,0.80,135.37,2.80,774.69,42.25,108.68,,,
CH3,O,4.00,1.00,3.00,0.00,2.25,8.00,2.29,3.44,0.43,0.63,13.01,13.62,9.84,13.62,0.88,1.46,1.33,1.52,7.00,6.00,2.50,1.50,5.13,2.86,0.53,13.32,11.73,1.17,1.42,6.50,1.15,5.73,0.20,1.06,0.20,2.85,0.60,26.63,0.58,2.34,1.00,13.00,3.78,23.46,1.37,8.20,0.28,177.31,2.02,26.27,42.25,137.59,,,
CH3,OH,4.00,2.00,3.00,1.00,2.25,4.50,2.29,2.82,0.43,0.48,13.01,13.61,9.84,13.02,0.88,1.11,1.33,1.36,7.00,7.00,3.00,2.00,3.38,2.55,0.46,13.31,11.43,0.99,1.34,7.00,0.53,5.11,0.05,0.91,0.03,2.69,0.59,26.62,0.23,1.99,0.00,14.00,3.18,22.86,0.99,6.52,0.21,177.18,1.80,11.39,49.00,130.64,,,
CH3,N,4.00,1.00,3.00,0.00,2.25,7.00,2.29,3.04,0.43,0.71,13.01,14.53,9.84,14.53,0.88,-0.07,1.33,1.55,7.00,5.00,2.50,1.50,4.63,2.66,0.57,13.77,12.19,0.41,1.44,6.00,0.75,5.33,0.28,1.14,0.23,2.88,1.52,27.55,0.95,0.81,2.00,12.00,4.69,24.37,0.16,7.10,0.32,189.72,2.07,21.39,36.00,148.47,0.03054 ,0.12576 ,-0.09523 
CH3,NH,4.00,2.00,3.00,1.00,2.25,4.00,2.29,2.62,0.43,0.52,13.01,14.07,9.84,12.80,0.88,0.34,1.33,1.38,7.00,6.00,3.00,2.00,3.13,2.45,0.48,13.54,11.32,0.61,1.35,6.50,0.33,4.91,0.09,0.95,0.05,2.70,1.05,27.08,0.54,1.22,1.00,13.00,2.96,22.64,0.37,6.02,0.23,183.32,1.82,9.77,42.25,128.14,0.05617 ,0.29963 ,-0.24345 
CH3,NH2,4.00,3.00,3.00,2.00,2.25,3.00,2.29,2.48,0.43,0.45,13.01,13.91,9.84,10.78,0.88,0.48,1.33,1.32,7.00,7.00,3.50,2.50,2.63,2.38,0.44,13.46,10.31,0.68,1.32,7.00,0.19,4.77,0.02,0.88,0.01,2.64,0.90,26.92,0.40,1.36,0.00,14.00,0.94,20.62,0.46,5.68,0.19,181.22,1.74,6.89,49.00,106.30,,,
CH3,NH3,4.00,4.00,3.00,3.00,2.25,2.50,2.29,2.41,0.43,0.42,13.01,13.83,9.84,10.07,0.88,0.55,1.33,1.29,7.00,8.00,4.00,3.00,2.38,2.35,0.43,13.42,9.96,0.71,1.31,7.50,0.12,4.70,0.01,0.85,0.04,2.61,0.82,26.85,0.33,1.43,1.00,15.00,0.23,19.91,0.51,5.52,0.18,180.17,1.71,5.64,56.25,99.10,,,
CH3,C,4.00,1.00,3.00,0.00,2.25,6.00,2.29,2.55,0.43,0.75,13.01,11.26,9.84,11.26,0.88,1.26,1.33,1.70,7.00,4.00,2.50,1.50,4.13,2.42,0.59,12.14,10.55,1.07,1.51,5.50,0.26,4.84,0.32,1.18,0.38,3.03,1.75,24.27,0.38,2.14,3.00,11.00,1.42,21.10,1.15,5.85,0.35,147.30,2.29,17.02,30.25,111.30,,,
CH3,CH,4.00,2.00,3.00,1.00,2.25,3.50,2.29,2.38,0.43,0.54,13.01,12.43,9.84,10.64,0.88,1.01,1.33,1.45,7.00,5.00,3.00,2.00,2.88,2.33,0.49,12.72,10.24,0.94,1.39,6.00,0.09,4.66,0.11,0.97,0.13,2.78,0.58,25.44,0.13,1.89,2.00,12.00,0.80,20.48,0.89,5.43,0.24,161.83,1.93,8.27,36.00,104.86,,,
CH3,CH2,4.00,3.00,3.00,2.00,2.25,2.67,2.29,2.32,0.43,0.46,13.01,12.82,9.84,10.40,0.88,0.92,1.33,1.37,7.00,6.00,3.50,2.50,2.46,2.30,0.45,12.92,10.12,0.90,1.35,6.50,0.03,4.60,0.03,0.89,0.04,2.69,0.19,25.83,0.04,1.80,1.00,13.00,0.56,20.24,0.81,5.30,0.20,166.83,1.81,6.04,42.25,102.41,,,
CH3,CH3,4.00,4.00,3.00,3.00,2.25,2.25,2.29,2.29,0.43,0.43,13.01,13.01,9.84,9.84,0.88,0.88,1.33,1.33,7.00,7.00,4.00,3.00,2.25,2.29,0.43,13.01,9.84,0.88,1.33,7.00,0.00,4.58,0.00,0.86,0.00,2.65,0.00,26.03,0.00,1.76,0.00,14.00,0.00,19.68,0.78,5.23,0.18,169.35,1.76,5.06,49.00,96.83,,,
CH3,S,4.00,1.00,3.00,0.00,2.25,16.00,2.29,2.58,0.43,1.03,13.01,10.36,9.84,10.36,0.88,2.08,1.33,1.80,7.00,6.00,2.50,1.50,9.13,2.43,0.73,11.69,10.10,1.48,1.56,6.50,0.29,4.87,0.60,1.46,0.48,3.13,2.65,23.37,1.20,2.96,1.00,13.00,0.52,20.20,2.19,5.92,0.53,136.58,2.44,83.27,42.25,102.01,0.22853 ,0.36726 ,-0.13873 
CH3,SH,4.00,2.00,3.00,1.00,2.25,8.50,2.29,2.39,0.43,0.68,13.01,11.98,9.84,10.42,0.88,1.42,1.33,1.50,7.00,7.00,3.00,2.00,5.38,2.34,0.56,12.50,10.13,1.15,1.41,7.00,0.10,4.68,0.25,1.11,0.18,2.83,1.03,24.99,0.54,2.30,0.00,14.00,0.58,20.26,1.32,5.47,0.31,156.16,2.00,28.89,49.00,102.62,,,
CH3,SH2,4.00,3.00,3.00,2.00,2.25,6.00,2.29,2.33,0.43,0.56,13.01,12.52,9.84,10.46,0.88,1.20,1.33,1.40,7.00,8.00,3.50,2.50,4.13,2.31,0.50,12.77,10.15,1.04,1.36,7.50,0.04,4.61,0.13,0.99,0.08,2.73,0.49,25.53,0.32,2.08,1.00,15.00,0.62,20.30,1.08,5.32,0.25,162.97,1.86,17.02,56.25,103.02,,,
CH3,F,4.00,1.00,3.00,0.00,2.25,9.00,2.29,3.98,0.43,0.64,13.01,17.42,9.84,17.42,0.88,3.40,1.33,1.47,7.00,7.00,2.50,1.50,5.63,3.13,0.54,15.22,13.63,2.14,1.40,7.00,1.69,6.27,0.21,1.07,0.15,2.80,4.41,30.44,2.52,4.28,0.00,14.00,7.58,27.26,4.58,9.82,0.29,231.58,1.95,31.64,49.00,185.78,0.18011 ,0.28689 ,-0.10677 
CH3,Cl,4.00,1.00,3.00,0.00,2.25,17.00,2.29,3.16,0.43,0.99,13.01,12.97,9.84,12.97,0.88,3.61,1.33,1.75,7.00,7.00,2.50,1.50,9.63,2.72,0.71,12.99,11.41,2.25,1.54,7.00,0.87,5.45,0.56,1.42,0.43,3.08,0.05,25.98,2.73,4.49,0.00,14.00,3.13,22.81,5.05,7.42,0.50,168.75,2.36,92.64,49.00,130.07,,,
CH3,Br,4.00,1.00,3.00,0.00,2.25,35.00,2.29,2.96,0.43,1.14,13.01,11.81,9.84,11.81,0.88,3.36,1.33,1.85,7.00,7.00,2.50,1.50,18.63,2.62,0.79,12.41,10.83,2.12,1.59,7.00,0.67,5.25,0.71,1.57,0.53,3.18,1.20,24.83,2.48,4.24,0.00,14.00,1.97,21.65,4.50,6.88,0.62,154.10,2.52,346.89,49.00,117.18,,,
CH3,I,4.00,1.00,3.00,0.00,2.25,53.00,2.29,2.66,0.43,1.33,13.01,10.45,9.84,10.45,0.88,3.06,1.33,1.98,7.00,7.00,2.50,1.50,27.63,2.47,0.88,11.73,10.15,1.97,1.65,7.00,0.37,4.95,0.90,1.76,0.66,3.31,2.56,23.46,2.18,3.94,0.00,14.00,0.61,20.29,3.88,6.12,0.77,137.65,2.73,763.14,49.00,102.92,,,
S,O,1.00,1.00,0.00,0.00,16.00,8.00,2.58,3.44,1.03,0.63,10.36,13.62,10.36,13.62,2.08,1.46,1.80,1.52,6.00,6.00,1.00,0.00,12.00,3.01,0.83,11.99,11.99,1.77,1.66,6.00,0.86,6.02,0.40,1.66,0.28,3.32,3.26,23.98,0.62,3.54,0.00,12.00,3.26,23.98,3.13,9.06,0.69,143.74,2.76,144.00,36.00,143.76,,,
S,OH,1.00,2.00,0.00,1.00,16.00,4.50,2.58,2.82,1.03,0.48,10.36,13.61,10.36,13.02,2.08,1.11,1.80,1.36,6.00,7.00,1.50,0.50,10.25,2.70,0.76,11.98,11.69,1.59,1.58,6.50,0.24,5.40,0.55,1.51,0.44,3.16,3.25,23.97,0.97,3.18,1.00,13.00,2.66,23.38,2.54,7.29,0.57,143.62,2.50,105.06,42.25,136.66,,,
S,N,1.00,1.00,0.00,0.00,16.00,7.00,2.58,3.04,1.03,0.71,10.36,14.53,10.36,14.53,2.08,-0.07,1.80,1.55,6.00,5.00,1.00,0.00,11.50,2.81,0.87,12.45,12.45,1.00,1.68,5.50,0.46,5.62,0.32,1.74,0.25,3.35,4.17,24.89,2.15,2.01,1.00,11.00,4.17,24.89,1.01,7.90,0.76,154.93,2.81,132.25,30.25,154.88,0.14989 ,0.03232 ,0.11756 
S,NH,1.00,2.00,0.00,1.00,16.00,4.00,2.58,2.62,1.03,0.52,10.36,14.07,10.36,12.80,2.08,0.34,1.80,1.38,6.00,6.00,1.50,0.50,10.00,2.60,0.78,12.21,11.58,1.21,1.59,6.00,0.04,5.20,0.51,1.55,0.43,3.18,3.71,24.43,1.74,2.42,0.00,12.00,2.44,23.16,1.46,6.76,0.60,149.16,2.52,100.00,36.00,134.10,,,
S,NH2,1.00,3.00,0.00,2.00,16.00,3.00,2.58,2.48,1.03,0.45,10.36,13.91,10.36,10.78,2.08,0.48,1.80,1.32,6.00,7.00,2.00,1.00,9.50,2.53,0.74,12.14,10.57,1.28,1.56,6.50,0.10,5.06,0.58,1.48,0.48,3.12,3.55,24.27,1.60,2.56,1.00,13.00,0.42,21.14,1.63,6.40,0.55,147.26,2.43,90.25,42.25,111.72,0.12770 ,0.22685 ,-0.09915 
S,NH3,1.00,4.00,0.00,3.00,16.00,2.50,2.58,2.41,1.03,0.42,10.36,13.83,10.36,10.07,2.08,0.55,1.80,1.29,6.00,8.00,2.50,1.50,9.25,2.50,0.73,12.10,10.22,1.31,1.54,7.00,0.17,4.99,0.61,1.45,0.51,3.09,3.47,24.19,1.53,2.63,2.00,14.00,0.29,20.43,1.72,6.23,0.53,146.31,2.38,85.56,49.00,104.35,,,
S,C,1.00,1.00,0.00,0.00,16.00,6.00,2.58,2.55,1.03,0.75,10.36,11.26,10.36,11.26,2.08,1.26,1.80,1.70,6.00,4.00,1.00,0.00,11.00,2.57,0.89,10.81,10.81,1.67,1.75,5.00,0.03,5.13,0.28,1.78,0.10,3.50,0.90,21.62,0.82,3.34,2.00,10.00,0.90,21.62,2.79,6.58,0.79,116.86,3.06,121.00,25.00,116.86,,,
